"BehaviorSpace results (NetLogo 6.2.0)"
"business-investor-model-senseRange.nlogo"
"experiment"
"06/19/2021 09:16:33:852 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","sensing-radius","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","ticks"
"7","0","39","63708.198000000004","75212.2649232281","39"
"8","0","32","68840.58120000002","57097.346416422704","32"
"3","0","37","91564.02000000002","113924.60481100071","37"
"5","0","34","119945.8504","165497.26210388585","34"
"1","0","24","58498.46319999999","64428.66988483891","24"
"4","0","39","72240.39960000003","110826.11537720544","39"
"8","0","33","73315.48240000002","58854.745940198925","33"
"7","0","40","68380.8128","76789.18187523764","40"
"3","0","38","95975.11360000003","118545.63979271209","38"
"5","0","35","119524.1552","173108.4025851905","35"
"4","0","40","73521.92280000001","115398.19804836514","40"
"1","0","25","62754.62920000001","66784.77558773644","25"
"8","0","34","77790.38360000002","60709.01691756011","34"
"7","0","41","64855.3572","81168.82931642521","41"
"3","0","39","96729.17280000001","124308.51357728949","39"
"4","0","41","78935.88880000002","118920.3462768217","41"
"5","0","36","125187.57840000004","178337.96236098942","36"
"1","0","26","54744.596000000005","65856.83103036205","26"
"3","0","40","91184.73920000001","124722.72383545362","40"
"8","0","35","82148.58080000001","62808.04388546741","35"
"7","0","42","60955.92519999998","78527.92879442927","42"
"4","0","42","84477.05480000003","122486.8591630472","42"
"5","0","37","127898.28880000002","185356.2356905832","37"
"3","0","41","95213.80480000003","129315.29774726515","41"
"1","0","27","58569.056400000016","68479.2346736743","27"
"8","0","36","81328.2096","66329.70828666001","36"
"7","0","43","63697.117199999986","80587.57689090299","43"
"4","0","43","86629.40080000002","127450.6216141569","43"
"5","0","38","133320.50200000004","190845.68155664433","38"
"3","0","42","100456.99200000003","133268.85110526695","42"
"1","0","28","62825.22240000001","70828.7452057134","28"
"7","0","44","67030.13520000002","82528.13568182185","44"
"8","0","37","80588.36280000002","70974.99235869535","37"
"4","0","44","92170.56680000006","131126.80173506407","44"
"3","0","43","104834.25520000001","137965.48703498376","43"
"5","0","39","122435.54920000005","189395.28662654266","39"
"1","0","29","54953.010800000004","72826.98953143918","29"
"8","0","38","75971.77600000001","77830.68703589532","38"
"7","0","45","60634.365199999986","73034.16152249505","45"
"4","0","45","97711.73280000003","134907.2238076231","45"
"3","0","44","92800.89880000001","138290.4306708407","44"
"5","0","40","128098.97240000003","194068.87296891035","40"
"1","0","30","59209.176799999994","75284.7159280191","30"
"5","0","41","133570.10120000003","198945.43298940823","41"
"4","0","46","99601.77640000003","140303.87627280958","46"
"3","0","45","97075.222","142179.17665777705","45"
"8","0","39","79879.5624","80301.71656068809","39"
"7","0","46","65327.42319999998","74336.97058365065","46"
"1","0","31","58195.614799999996","77439.56750906463","31"
"7","0","47","70020.48119999998","75812.18771034085","47"
"8","0","40","77189.92120000003","84224.28215239357","40"
"4","0","47","98326.34360000004","144783.71237275467","47"
"3","0","46","91710.26200000002","142899.03365155356","46"
"5","0","42","138029.68960000004","204516.04084336216","42"
"4","0","48","103454.24760000003","148855.60221214034","48"
"1","0","32","62451.78079999999","79699.7918390627","32"
"7","0","48","74713.53919999998","77449.96177477518","48"
"5","0","43","134074.60400000005","210269.82594522985","43"
"3","0","47","95972.75639999998","146283.33355039553","47"
"8","0","41","80738.68280000001","86782.57552805706","41"
"4","0","49","102564.45760000002","155351.5505362503","49"
"1","0","33","66492.094","82197.24953843004","33"
"5","0","44","131963.91120000003","217817.57080641083","44"
"7","0","49","79406.5972","79240.21400787031","49"
"3","0","48","99744.5956","150088.3250658922","48"
"8","0","42","84904.8708","88872.15079836344","42"
"1","0","34","68429.10000000002","85888.93802005594","34"
"3","0","49","95426.32800000001","152434.11744954242","49"
"5","0","45","137627.33440000002","222266.057457936","45"
"8","0","43","88305.8024","91688.26250993936","43"
"1","0","35","72685.26600000002","88348.03310542916","35"
"5","0","46","143290.75760000004","226785.6386580989","46"
"9","0","0","0","0","0"
"8","0","44","92058.24360000002","94253.63710152717","44"
"10","0","0","0","0","0"
"1","0","36","76827.79200000002","90951.2557922296","36"
"9","0","1","4977.342000000001","5538.7281129432895","1"
"8","0","45","96224.4316","96467.86230973488","45"
"5","0","47","143052.83200000002","234547.41045404633","47"
"11","1","0","0","0","0"
"10","0","1","5431.7536","4554.616014184474","1"
"9","0","2","10171.625999999998","10926.458179720606","2"
"8","0","46","100189.64480000001","98917.03602646202","46"
"1","0","37","81083.958","93500.94165284239","37"
"10","0","2","11118.6628","8878.679961854088","2"
"5","0","48","148474.95960000006","239337.5250415129","48"
"11","1","1","8153.268400000001","7342.958861994191","1"
"9","0","3","15365.909999999998","16349.511721036964","3"
"10","0","3","16155.619599999998","13682.168993856712","3"
"8","0","47","104664.546","100914.05171001016","47"
"1","0","38","85271.076","96152.44600145376","38"
"5","0","49","154138.38280000002","244030.4599112029","49"
"9","0","4","18334.4516","20871.094691595936","4"
"11","1","2","18673.118000000002","12885.007262166495","2"
"10","0","4","21842.5288","17988.709501899455","4"
"8","0","48","105127.79560000004","106195.28630525057","48"
"1","0","39","89527.242","98777.63830070755","39"
"9","0","5","23528.7356","25720.054203164615","5"
"10","0","5","27084.464","22784.054634384473","5"
"11","1","3","28500.786","20242.725651700166","3"
"8","0","49","109602.69680000002","108122.36344770201","49"
"1","0","40","89772.66","103136.50432627536","40"
"10","0","6","29620.3148","29236.45328435834","6"
"9","0","6","28723.019600000003","30767.6591361929","6"
"12","1","0","0","0","0"
"11","1","4","36210.623999999996","27876.55705264058","4"
"10","0","7","32226.907600000006","34895.697311711214","7"
"9","0","7","33087.588","36482.45092615455","7"
"1","0","41","91377.77640000003","107212.01209613236","41"
"11","1","5","46270.13160000001","34184.65985948152","5"
"12","1","1","11614.093599999998","4511.201297862983","1"
"10","0","8","37692.5248","39247.44662265168","8"
"9","0","8","37234.4064","42334.330664900466","8"
"1","0","42","90984.00399999999","111890.33464732576","42"
"13","1","0","0","0","0"
"9","0","9","40693.15440000001","48320.088334925385","9"
"11","1","6","53911.88679999998","40956.68042505242","6"
"10","0","9","41858.2372","44448.72287334367","9"
"12","1","2","22659.236399999998","10372.332924871129","2"
"1","0","43","95240.17","114317.35319638852","43"
"9","0","10","45887.4384","53516.48644302089","10"
"13","1","1","10926.920399999997","8800.837817333777","1"
"10","0","10","47545.1464","48590.152393062366","10"
"11","1","7","65398.93800000001","46197.121388802996","7"
"1","0","44","99496.33600000001","116781.38578065304","44"
"12","1","3","34417.5276","15007.179728441726","3"
"9","0","11","48695.3604","59599.764486386084","11"
"10","0","11","53232.05560000001","52775.81233280758","11"
"11","1","8","73003.36679999997","53919.11460403387","8"
"13","1","2","23905.436399999995","16315.140832889676","2"
