"BehaviorSpace results (NetLogo 6.2.0)"
"Flocking.nlogo"
"Baseline"
"05/02/2021 07:27:38:632 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","max-cohere-turn","max-separate-turn","vision","minimum-separation","population","max-align-turn","[step]","count turtles with [any? flockmates]","mean [count flockmates] of turtles","mean [min [distance myself] of other turtles] of turtles","standard-deviation [heading] of turtles"
"5","3","1.5","3","1","300","5","9","243","1.9933333333333334","1.9902107130350082","102.08844912911005"
"3","3","1.5","3","1","300","5","9","258","1.9666666666666666","1.8871086396309684","105.98806224664006"
"4","3","1.5","3","1","300","5","10","260","2.006666666666667","1.8137448843094932","107.49029083150893"
"5","3","1.5","3","1","300","5","10","254","2.22","2.0155972774478776","101.89398083336003"
"1","3","1.5","3","1","300","5","9","256","1.96","1.9564934258593683","98.54617101598315"
"8","3","1.5","3","1","300","5","10","255","1.9533333333333334","1.9581555512938211","104.9408771937201"
"2","3","1.5","3","1","300","5","10","250","2.2133333333333334","1.937835279716302","113.58296633084137"
"6","3","1.5","3","1","300","5","9","245","2.1","1.9569539975218735","100.65969656449529"
"7","3","1.5","3","1","300","5","10","262","1.9266666666666667","1.9305954472396203","101.61757810299794"
"3","3","1.5","3","1","300","5","10","267","2.0733333333333333","1.889085367662252","106.22528206200025"
"4","3","1.5","3","1","300","5","11","258","2.1133333333333333","1.8549293430785057","107.72676407733002"
"5","3","1.5","3","1","300","5","11","255","2.2266666666666666","1.985784219438912","101.71906365385581"
"8","3","1.5","3","1","300","5","11","256","1.9066666666666667","2.022907460985385","104.98714099102321"
"1","3","1.5","3","1","300","5","10","242","1.92","1.9247222094977345","98.48165575860783"
"2","3","1.5","3","1","300","5","11","257","2.26","1.9407775498721458","114.11075996642215"
"6","3","1.5","3","1","300","5","10","254","2.0866666666666664","1.9488298748874668","100.49266473798593"
"7","3","1.5","3","1","300","5","11","264","1.9933333333333334","1.882823560992003","101.89009468022333"
"3","3","1.5","3","1","300","5","11","259","2.033333333333333","1.8978663416586172","106.58536053439832"
"8","3","1.5","3","1","300","5","12","253","1.88","2.005074455979071","105.50014061160923"
"1","3","1.5","3","1","300","5","11","250","1.9733333333333334","1.9143798817575024","98.66444038412928"
"5","3","1.5","3","1","300","5","12","255","2.28","1.913883912195219","102.5255244103708"
"4","3","1.5","3","1","300","5","12","265","2.2333333333333334","1.8391054915270115","108.06004788584706"
"6","3","1.5","3","1","300","5","11","257","2.02","1.949079971465162","100.45037495789528"
"2","3","1.5","3","1","300","5","12","257","2.26","1.9344120252553774","114.37153198526195"
"7","3","1.5","3","1","300","5","12","260","2.0533333333333332","1.8653577181650864","102.07107848975464"
"8","3","1.5","3","1","300","5","13","255","1.84","1.975369383065517","105.9652925611686"
"3","3","1.5","3","1","300","5","12","262","2.0533333333333332","1.8897769267365079","107.0233122191832"
"1","3","1.5","3","1","300","5","12","257","1.96","1.9364019107091883","98.05533850824665"
"2","3","1.5","3","1","300","5","13","267","2.3933333333333335","1.8928401813790117","114.37608990106523"
"4","3","1.5","3","1","300","5","13","262","2.2533333333333334","1.8286897576239982","107.91703949032862"
"5","3","1.5","3","1","300","5","13","257","2.22","1.9386024498645424","103.07269141301346"
"6","3","1.5","3","1","300","5","12","259","2.0866666666666664","1.8971502373483347","100.3105979295755"
"7","3","1.5","3","1","300","5","13","259","2.0866666666666664","1.8527129615537565","101.80608889843663"
"3","3","1.5","3","1","300","5","13","259","2.0866666666666664","1.8783192845540801","105.92396952072211"
"1","3","1.5","3","1","300","5","13","260","1.9266666666666667","1.9562801432270067","97.5709766170965"
"8","3","1.5","3","1","300","5","14","257","2.02","1.9683997639322346","106.15004455289866"
"2","3","1.5","3","1","300","5","14","258","2.3","1.868557539581987","114.70224521898257"
"6","3","1.5","3","1","300","5","13","256","2.1866666666666665","1.8155183144726619","100.41701021518392"
"4","3","1.5","3","1","300","5","14","263","2.2466666666666666","1.8238886557617122","107.72959936074791"
"7","3","1.5","3","1","300","5","14","268","2.2066666666666666","1.8712600752326158","102.03049294332673"
"5","3","1.5","3","1","300","5","14","257","2.2266666666666666","1.9332763767365422","103.13337354672964"
"3","3","1.5","3","1","300","5","14","259","2.16","1.8916715265127155","105.82928606783739"
"1","3","1.5","3","1","300","5","14","265","2.046666666666667","1.8798608068009355","97.37386006720003"
"8","3","1.5","3","1","300","5","15","259","2.1133333333333333","1.984858886551524","106.41475270572036"
"6","3","1.5","3","1","300","5","14","261","2.2133333333333334","1.8559795429026007","100.12505513353788"
"4","3","1.5","3","1","300","5","15","255","2.0866666666666664","1.8793315322681095","106.81691583045475"
"7","3","1.5","3","1","300","5","15","261","2.0733333333333333","1.8886509027125884","102.19893699658941"
"5","3","1.5","3","1","300","5","15","253","2.2133333333333334","1.885673379355591","102.87093992379152"
"2","3","1.5","3","1","300","5","15","261","2.1866666666666665","1.9419135574876345","115.0732300893868"
"3","3","1.5","3","1","300","5","15","255","2.1866666666666665","1.9085744262867956","105.28125665575502"
"8","3","1.5","3","1","300","5","16","267","2.28","1.9551587673390474","106.20190087053749"
"6","3","1.5","3","1","300","5","15","261","2.2466666666666666","1.8619870517677082","100.17878683618106"
"1","3","1.5","3","1","300","5","15","262","2.04","1.8355557210232984","97.22364731340478"
"7","3","1.5","3","1","300","5","16","261","2.2266666666666666","1.791521454833878","102.39000137716359"
"4","3","1.5","3","1","300","5","16","264","2.2333333333333334","1.8689493125449383","106.77825608369902"
"5","3","1.5","3","1","300","5","16","254","2.1333333333333333","1.9254033726482438","103.0729550415421"
"2","3","1.5","3","1","300","5","16","254","2.18","1.9515867852413518","114.92474960896185"
"3","3","1.5","3","1","300","5","16","248","2.0733333333333333","1.921518515556388","104.95668012563777"
"8","3","1.5","3","1","300","5","17","253","2.066666666666667","1.9473274731206043","106.2095390600831"
"7","3","1.5","3","1","300","5","17","260","2.3866666666666667","1.7819426397793416","102.05187832638026"
"1","3","1.5","3","1","300","5","16","271","2.2","1.747366320547092","96.93384975394504"
"2","3","1.5","3","1","300","5","17","255","2.1533333333333333","1.982510808205977","114.83260210328628"
"5","3","1.5","3","1","300","5","17","263","2.16","1.9841956508297156","103.59933577794817"
"4","3","1.5","3","1","300","5","17","260","2.4133333333333336","1.801524039411891","106.83136307412252"
"6","3","1.5","3","1","300","5","16","249","2.2466666666666666","1.8543025211838153","100.03578638076559"
"1","3","1.5","3","1","300","5","17","275","2.2733333333333334","1.7803351566338592","96.88265931998687"
"3","3","1.5","3","1","300","5","17","250","2.0733333333333333","1.9345492009635488","105.36113992233476"
"8","3","1.5","3","1","300","5","18","260","2.18","1.9507092789394547","106.94993668730176"
"2","3","1.5","3","1","300","5","18","252","2.2933333333333334","1.9314151583761523","115.15490539472422"
"4","3","1.5","3","1","300","5","18","266","2.6133333333333333","1.8108169739821236","106.3741566616786"
"5","3","1.5","3","1","300","5","18","258","2","2.004019728612038","103.48490978628953"
"6","3","1.5","3","1","300","5","17","255","2.2733333333333334","1.8706801156195156","99.10637274946254"
"7","3","1.5","3","1","300","5","18","269","2.513333333333333","1.8048468509188558","102.34181827089914"
"8","3","1.5","3","1","300","5","19","261","2.2333333333333334","1.884172832539285","106.72763238006982"
"3","3","1.5","3","1","300","5","18","256","2.0866666666666664","1.882421411769565","104.62723157952402"
"2","3","1.5","3","1","300","5","19","259","2.34","1.8672712532727365","115.80235632546413"
"1","3","1.5","3","1","300","5","18","277","2.2733333333333334","1.851112712785925","96.61559203368377"
"4","3","1.5","3","1","300","5","19","262","2.6933333333333334","1.8117440027417464","106.53934765054971"
"5","3","1.5","3","1","300","5","19","260","1.9866666666666666","1.945741140270951","103.85913863562672"
"6","3","1.5","3","1","300","5","18","255","2.2666666666666666","1.8730185693303827","99.17762622616857"
"7","3","1.5","3","1","300","5","19","265","2.566666666666667","1.7491599155832107","102.37785811993041"
"1","3","1.5","3","1","300","5","19","260","2.1933333333333334","1.8881036946816263","96.51252458774434"
"8","3","1.5","3","1","300","5","20","259","2.1733333333333333","1.7989270021826662","107.47341108197985"
"3","3","1.5","3","1","300","5","19","252","2.1666666666666665","1.8589122370408377","104.96756960202254"
"2","3","1.5","3","1","300","5","20","261","2.3933333333333335","1.8974483667188857","115.37520322367749"
"5","3","1.5","3","1","300","5","20","256","1.96","1.9077165616587695","103.80531253342099"
"6","3","1.5","3","1","300","5","19","260","2.26","1.8481848487384374","98.73733822778654"
"4","3","1.5","3","1","300","5","20","263","2.526666666666667","1.7749054138317069","106.91295717052212"
"7","3","1.5","3","1","300","5","20","267","2.526666666666667","1.7639722152473056","102.34755697859877"
"3","3","1.5","3","1","300","5","20","256","2.32","1.822336105189298","105.24494449538854"
